"direction","distance","value"
0,0,196.611114501953
0,30,196.611114501953
0,60,197.956527709961
0,90,199.357147216797
0,120,201.206893920898
0,150,203.827590942383
0,180,206.310348510742
0,210,207.620697021484
0,240,207.517242431641
0,270,206.620697021484
0,300,205.068969726562
0,330,203.517242431641
0,360,202.931030273438
0,390,203.965515136719
0,420,206.103454589844
0,450,208.551727294922
0,480,210.413787841797
0,510,211.379302978516
0,540,211.275863647461
0,570,209.862075805664
0,600,207.344833374023
0,630,204.689651489258
0,660,202.137924194336
0,690,199.24137878418
0,720,196.034484863281
0,750,193.103454589844
0,780,190.448272705078
0,810,188.034484863281
0,840,185.896545410156
0,870,184.034484863281
0,900,182.862075805664
0,930,182.586212158203
0,960,183.068969726562
0,990,183.75862121582
0,1020,184.103454589844
0,1050,184.137924194336
0,1080,184.068969726562
0,1110,184.862075805664
0,1140,186.931030273438
0,1170,190.896545410156
0,1200,196.75862121582
0,1230,203.862075805664
0,1260,211.172409057617
0,1290,218.206893920898
0,1320,224.482757568359
0,1350,228.896545410156
0,1380,230.827590942383
0,1410,230.448272705078
0,1440,228.827590942383
0,1470,227.137924194336
0,1500,226
0,1530,225.827590942383
0,1560,226.482757568359
0,1590,227
0,1620,226.551727294922
0,1650,224.75862121582
0,1680,221.689651489258
0,1710,218.206893920898
0,1740,215.310348510742
0,1770,213.034484863281
0,1800,211.310348510742
0,1830,209.827590942383
0,1860,208.275863647461
0,1890,206.310348510742
0,1920,204.275863647461
0,1950,203.034484863281
0,1980,203.448272705078
0,2010,205.310348510742
0,2040,208.103454589844
0,2070,211.344833374023
0,2100,214.103454589844
0,2130,215.551727294922
0,2160,215.862075805664
0,2190,216.068969726562
0,2220,217.103454589844
0,2250,219.551727294922
0,2280,223.103454589844
0,2310,226.931030273438
0,2340,230
0,2370,231.379302978516
0,2400,230.793106079102
0,2430,228.896545410156
0,2460,227.034484863281
0,2490,226.137924194336
0,2520,226.896545410156
0,2550,229.24137878418
0,2580,232.689651489258
0,2610,236.75862121582
0,2640,240.551727294922
0,2670,243.965515136719
0,2700,247
0,2730,249.482757568359
0,2760,251.655166625977
0,2790,253.448272705078
0,2820,254.310348510742
0,2850,254.482757568359
0,2880,254.379302978516
0,2910,253.862075805664
0,2940,252.655166625977
0,2970,251.24137878418
0,3000,249.75862121582
0,3030,248.275863647461
0,3060,246.965515136719
0,3090,246.413787841797
0,3120,247.137924194336
0,3150,249.034484863281
0,3180,251.172409057617
0,3210,252.931030273438
0,3240,253.827590942383
0,3270,253.827590942383
0,3300,252.965515136719
0,3330,251.413787841797
0,3360,249.482757568359
0,3390,247.551727294922
0,3420,245.931030273438
0,3450,245
0,3480,244.689651489258
0,3510,244.793106079102
0,3540,245
0,3570,245.24137878418
0,3600,245.655166625977
0,3630,245.862075805664
0,3660,246
0,3690,246.172409057617
0,3720,246.551727294922
0,3750,247.103454589844
0,3780,248.275863647461
0,3810,249.896545410156
0,3840,251.689651489258
0,3870,253.206893920898
0,3900,254.103454589844
0,3930,254.724136352539
0,3960,254.793106079102
0,3990,254.620697021484
0,4020,254.310348510742
0,4050,254.24137878418
0,4080,254.310348510742
0,4110,254.517242431641
0,4140,255.034484863281
0,4170,255.517242431641
0,4200,255.655166625977
0,4230,255.965515136719
0,4260,256.241394042969
0,4290,255.896545410156
0,4320,255.275863647461
0,4350,254.965515136719
0,4380,255.172409057617
0,4410,255.689651489258
0,4440,256.827575683594
0,4470,258.482757568359
0,4500,259.827575683594
0,4530,260.448272705078
0,4560,260.379302978516
0,4590,259.862060546875
0,4620,259.103454589844
0,4650,258.206909179688
0,4680,257.103454589844
0,4710,256.034484863281
0,4740,255.379302978516
0,4770,254.931030273438
0,4800,254.655166625977
0,4830,254.310348510742
0,4860,254
0,4890,253.689651489258
0,4920,253.172409057617
0,4950,252.75862121582
0,4980,252
0,5010,250.75862121582
0,5040,248.931030273438
0,5070,246.896545410156
0,5100,244.793106079102
0,5130,243.379302978516
0,5160,242.965515136719
0,5190,243.379302978516
0,5220,244.275863647461
0,5250,245.103454589844
0,5280,245.551727294922
0,5310,245.482757568359
0,5340,244.965515136719
0,5370,244.034484863281
0,5400,242.620697021484
0,5430,241.068969726562
0,5460,239.379302978516
0,5490,237.75862121582
0,5520,236.310348510742
0,5550,235.344833374023
0,5580,234.827590942383
0,5610,234.482757568359
0,5640,234.275863647461
0,5670,234.068969726562
0,5700,233.310348510742
0,5730,232.137924194336
0,5760,230.655166625977
0,5790,229.034484863281
0,5820,227
0,5850,224.655166625977
0,5880,222.24137878418
0,5910,219.482757568359
0,5940,216.172409057617
0,5970,212.793106079102
0,6000,209.413787841797
0,6030,206.275863647461
0,6060,203.655166625977
0,6090,202
0,6120,201.413787841797
0,6150,201.75862121582
0,6180,202.862075805664
0,6210,204.896545410156
0,6240,206.965515136719
0,6270,209.206893920898
0,6300,212.103454589844
0,6330,214.965515136719
0,6360,216.965515136719
0,6390,218.137924194336
0,6420,219.034484863281
0,6450,219.586212158203
0,6480,219.827590942383
0,6510,220.068969726562
0,6540,220.379302978516
0,6570,220.655166625977
0,6600,220.586212158203
0,6630,220.551727294922
0,6660,220.275863647461
0,6690,220.068969726562
0,6720,219.931030273438
0,6750,219.896545410156
0,6780,219.655166625977
0,6810,219.551727294922
0,6840,219.448272705078
0,6870,219.24137878418
0,6900,218.862075805664
0,6930,218.551727294922
0,6960,218.275863647461
0,6990,218.034484863281
0,7020,217.896545410156
0,7050,217.793106079102
0,7080,217.413787841797
0,7110,217.034484863281
0,7140,216.482757568359
0,7170,215.827590942383
0,7200,215
0,7230,214.275863647461
0,7260,213.275863647461
0,7290,212.172409057617
0,7320,211.034484863281
0,7350,210
0,7380,208.793106079102
0,7410,207.689651489258
0,7440,206.379302978516
0,7470,204.689651489258
0,7500,202.724136352539
0,7530,200.75862121582
0,7560,199.24137878418
0,7590,198.344833374023
0,7620,198
0,7650,197.862075805664
0,7680,197.75862121582
0,7710,197.620697021484
0,7740,197.379302978516
0,7770,196.965515136719
0,7800,196.413787841797
0,7830,195.75862121582
