"direction","bin.center","v","n","sd","bin.limit"
"45",4495,2014.69056223486,77332,2520.50971172666,4650
"45",4805,1980.17266301475,75043,2502.27107665403,4960
"45",5115,1931.00931440798,72866,2420.80743426418,5270
"45",5425,1859.24110579642,68620,2287.57202305549,5580
"45",5735,1774.10252998921,65716,2151.2025361223,5890
"45",6045,1731.52956130235,61885,2094.31940983059,6200
"45",6355,1724.67466018538,57266,2043.18253382886,6510
"45",6665,1679.83739691023,53202,2012.11521197536,6820
"45",6975,1585.35562131683,47820,1911.48804862439,7130
"90",155.000000000001,99.0854464346368,6548,186.862744270482,310
"90",465,268.939999174187,19026,420.138675371435,620
"90",775,430.508580410367,29175,651.455047272724,930
"90",1085,593.858278525876,41401,819.460561883361,1240
"90",1395,740.85608079077,50534,999.223153144799,1550
"90",1705,882.800385434907,57969,1194.62917370054,1860
"90",2015,999.201581625236,66898,1355.85014559228,2170
"90",2325,1117.97979972751,71794,1515.73230527571,2480
"90",2635,1209.70342554014,76500,1689.46429597388,2790
"90",2945,1325.1471144898,83613,1861.39844672268,3100
"90",3255,1457.66260711354,87395,2035.41442096056,3410
"90",3565,1568.85102491002,88936,2171.28546626601,3720
"90",3875,1690.6924676217,91480,2356.05585338723,4030
"90",4185,1814.66716055443,92282,2510.26663431053,4340
"90",4495,1900.02829722717,93215,2602.69477170472,4650
"90",4805,1982.445798401,93756,2653.85463697339,4960
"90",5115,2100.94142221314,91667,2729.42999254925,5270
"90",5425,2199.27313983591,88489,2767.1302283662,5580
"90",5735,2247.22649026335,87169,2736.00095356726,5890
"90",6045,2368.66514637091,83552,2817.88031539735,6200
"90",6355,2512.16146457542,80595,3017.22586428557,6510
"90",6665,2644.79128450831,75896,3195.31236488939,6820
"90",6975,2731.46329889839,69639,3304.88989744448,7130
"135",155.000000000001,95.2582346544909,6788,181.704134207192,310
"135",465,235.833116583568,19251,354.107103035317,620
"135",775,385.890606150022,29705,536.388257072428,930
"135",1085,538.652721224976,40585,742.183754209977,1240
"135",1395,711.792108037928,50369,958.74421888436,1550
"135",1705,920.227978253873,58951,1181.02999726444,1860
"135",2015,1123.90801150772,67017,1404.26942145746,2170
"135",2325,1313.66099909493,73677,1595.27532783632,2480
"135",2635,1493.053172655,80109,1774.12247432953,2790
"135",2945,1679.66415224233,84667,1959.62793684524,3100
"135",3255,1854.67395298726,88263,2143.43665981797,3410
"135",3565,2069.53426985004,92480,2343.98555613283,3720
"135",3875,2254.9536095883,94337,2525.33746330086,4030
"135",4185,2454.48847476886,96113,2722.55452935123,4340
"135",4495,2627.14849831788,97569,2939.4610991135,4650
"135",4805,2770.84028656932,97631,3118.31604547612,4960
"135",5115,2894.08879512657,98138,3273.18604800234,5270
"135",5425,2976.18517688598,96625,3402.68689787481,5580
"135",5735,2971.60459206218,96507,3477.51831434711,5890
"135",6045,2944.02429509475,95056,3524.07334497941,6200
"135",6355,2880.99543325009,91825,3514.6319896318,6510
"135",6665,2862.42788530499,89856,3538.68623584598,6820
"135",6975,2817.30931791399,85778,3539.78881706349,7130
"omnidir",155.000000000001,103.549331170387,26593,199.256380748147,310
"omnidir",465,269.152645486678,76564,442.116650529376,620
"omnidir",775,419.442294350938,117699,633.507746735437,930
"omnidir",1085,569.777917735065,164118,798.831303436774,1240
"omnidir",1395,724.518203324144,199709,978.800929718119,1550
"omnidir",1705,885.22700254148,229155,1167.16100675096,1860
"omnidir",2015,1038.1747218365,262376,1358.788406144,2170
"omnidir",2325,1193.47681386293,284246,1524.428432776,2480
"omnidir",2635,1336.39572407671,305430,1679.97889255266,2790
"omnidir",2945,1484.84491554363,325998,1832.84322555292,3100
"omnidir",3255,1650.18850815806,337531,1989.12578448588,3410
"omnidir",3565,1834.01243705239,347468,2182.16278612012,3720
"omnidir",3875,1985.70311850017,354319,2380.3547930685,4030
"omnidir",4185,2120.81445028883,356987,2563.94921943105,4340
"omnidir",4495,2217.55986339488,356539,2707.22967249078,4650
"omnidir",4805,2278.46883632563,355417,2787.74915896207,4960
"omnidir",5115,2317.25308101807,349112,2821.60488792143,5270
"omnidir",5425,2338.00491159224,337143,2845.74535698824,5580
"omnidir",5735,2313.28527063393,329815,2837.95520203564,5890
"omnidir",6045,2307.98245001665,315702,2858.9444721528,6200
"omnidir",6355,2299.19330513637,300783,2898.27764342892,6510
"omnidir",6665,2297.24320016953,286503,2954.74591473782,6820
"omnidir",6975,2261.98457937347,263828,2981.21321364353,7130
