"direction","bin.center","v","n","sd","bin.limit"
"90",4000,0.0104846091025414,27511,0.0226358742243159,4160
"90",4320,0.0107912768096387,27689,0.0231080872597686,4480
"90",4640,0.011064844725961,27286,0.0236448959482483,4800
"90",4960,0.0110261731836904,28289,0.0232416751249553,5120
"90",5280,0.0110720548706227,27828,0.0229486014072219,5440
"90",5600,0.011310516727009,26842,0.0232338458103573,5760
"90",5920,0.0118642469274161,26543,0.0245140866341402,6080
"90",6240,0.0121355448439989,25521,0.0248969905367254,6400
"90",6560,0.0119869543016324,24024,0.0239333033513636,6720
"90",6880,0.0132294284985342,22543,0.0266101621143602,7040
"135",160.000000000001,0.00583307261399075,2009,0.015666974670767,320
"135",480,0.00897601648867919,6175,0.0215690639987825,640
"135",800,0.00992825517878374,9645,0.0228834999142409,960
"135",1120,0.0103867583684293,13056,0.0236185244263759,1280
"135",1440,0.0100353817572884,16110,0.0226329826925191,1600
"135",1760,0.00981610228902145,18776,0.0222015046497915,1920
"135",2080,0.00944238094708559,21139,0.0212565273409272,2240
"135",2400,0.00921444516110393,23023,0.0202998351267298,2560
"135",2720,0.00940862837477434,24560,0.0207825036322182,2880
"135",3040,0.00923871005783741,26041,0.0195234816514299,3200
"135",3360,0.00887592513899995,27185,0.0183935344016275,3520
"135",3680,0.00902740115543114,28398,0.0185221191926425,3840
"135",4000,0.00886023524719931,28982,0.0174205010428122,4160
"135",4320,0.00897282061570262,29568,0.0176222854227818,4480
"135",4640,0.00895007579192905,29724,0.0169646991001821,4800
"135",4960,0.00920076539144211,29703,0.017397353172635,5120
"135",5280,0.00917563832267944,29884,0.0172602411618719,5440
"135",5600,0.00952969113508456,30036,0.0177400974414337,5760
"135",5920,0.00972778882707977,29848,0.017872256252328,6080
"135",6240,0.0101433854749712,29390,0.0182578118413955,6400
"135",6560,0.0104190451189618,28696,0.0189338516493954,6720
"135",6880,0.0108767756034084,28146,0.0194155120798657,7040
"omnidir",160.000000000001,0.00681873977957871,8207,0.0174341506673604,320
"omnidir",480,0.00973386524643624,24202,0.0229476006128288,640
"omnidir",800,0.0103258255797431,38013,0.0239154983451399,960
"omnidir",1120,0.010504899259882,51609,0.0237061079167713,1280
"omnidir",1440,0.0101810114000638,63449,0.0226933201696377,1600
"omnidir",1760,0.00997406462512648,73387,0.0219006774064286,1920
"omnidir",2080,0.00972146857114567,81785,0.0210430345580913,2240
"omnidir",2400,0.00985367150927339,89268,0.021357644642711,2560
"omnidir",2720,0.0100096743267381,94210,0.0215012048262021,2880
"omnidir",3040,0.00998747908123401,100271,0.0207552980527324,3200
"omnidir",3360,0.0100421398944863,103539,0.0205155187581497,3520
"omnidir",3680,0.0103854169572312,105763,0.0211486169048481,3840
"omnidir",4000,0.0106707412885361,108534,0.0214949376806334,4160
"omnidir",4320,0.0113001483687769,108760,0.0223275386581329,4480
"omnidir",4640,0.0113755982915723,106903,0.0224784604807595,4800
"omnidir",4960,0.0116348171107995,107586,0.0226979303223645,5120
"omnidir",5280,0.0119131806849713,105456,0.0228944375618497,5440
"omnidir",5600,0.0125116730752547,102240,0.0235888853644943,5760
"omnidir",5920,0.0129844569361471,99612,0.0239935286221037,6080
"omnidir",6240,0.0136977925883054,95805,0.0246670343010758,6400
"omnidir",6560,0.0140616614014295,90804,0.0247996279648202,6720
"omnidir",6880,0.0150845825610395,86030,0.0260860606886927,7040
