"direction","bin.center","v","n","sd","bin.limit"
"0",155.000000000001,0.363482618308108,3729,0.548972225040775,310
"0",465,0.366517869546679,10679,0.549932659489082,620
"0",775,0.349798566452215,17097,0.51621697757709,930
"0",1085,0.352182813819101,23899,0.519978192441478,1240
"0",1395,0.348035903942659,28885,0.511297063714202,1550
"0",1705,0.354223550117359,33095,0.50982441267041,1860
"0",2015,0.348303763178011,38342,0.497987536422462,2170
"0",2325,0.352728665955639,41671,0.5102894823883,2480
"0",2635,0.347069703611247,44244,0.506596329014944,2790
"0",2945,0.355263723700944,47170,0.514979092421424,3100
"0",3255,0.349891516422157,49477,0.50736098671067,3410
"0",3565,0.347837169054422,50067,0.50157522640136,3720
"0",3875,0.351530121420911,51642,0.51451681155158,4030
"0",4185,0.355322422405145,52116,0.521104242194681,4340
"0",4495,0.349923897192755,51662,0.508589669756913,4650
"0",4805,0.353415576587587,51993,0.506347695425043,4960
"0",5115,0.34796046671075,50927,0.506981301163144,5270
"0",5425,0.348513592587254,48857,0.509029386159963,5580
"0",5735,0.347816982537308,47648,0.515727062370254,5890
"0",6045,0.347839031802914,43602,0.512471685739812,6200
"0",6355,0.345880048683918,41263,0.522643678255531,6510
"0",6665,0.351736799290784,38911,0.523829144170791,6820
"0",6975,0.345047705902223,35395,0.524966739365755,7130
"45",155.000000000001,0.348829713681647,3851,0.511616649373194,310
"45",465,0.367822834467072,10645,0.55348083875989,620
"45",775,0.350350285995493,16609,0.49113916730633,930
"45",1085,0.350990713893487,22527,0.520930299451057,1240
"45",1395,0.345715989915431,27510,0.500374740005769,1550
"45",1705,0.346796679005563,31351,0.508883069472961,1860
"45",2015,0.344595661869053,35269,0.499392826366049,2170
"45",2325,0.34190121090099,38272,0.490660596357101,2480
"45",2635,0.344699142222072,40568,0.490682993740283,2790
"45",2945,0.345164400742346,42873,0.495383591287652,3100
"45",3255,0.347905873932563,44053,0.494381247131123,3410
"45",3565,0.353810841770173,45210,0.516704339805384,3720
"45",3875,0.349047384107503,45576,0.501913766272841,4030
"45",4185,0.351502868438111,45587,0.507058187167498,4340
"45",4495,0.346926105189808,45610,0.507872345465502,4650
"45",4805,0.348957464605578,45223,0.514827172999083,4960
"45",5115,0.351194562379151,43501,0.515546452967222,5270
"45",5425,0.350896600678489,41377,0.518766083155014,5580
"45",5735,0.352826838402921,39339,0.530014672749605,5890
"45",6045,0.344107935179357,36517,0.510235121805576,6200
"45",6355,0.354475642496659,33488,0.535907631507822,6510
"45",6665,0.354598441027224,30764,0.549988444099221,6820
"45",6975,0.354023850271692,28390,0.522052837688067,7130
"90",155.000000000001,0.366571578764966,3804,0.584505267885819,310
"90",465,0.357864093896508,10839,0.536099364368225,620
"90",775,0.35540128206791,17130,0.522788672489446,930
"90",1085,0.347350780444197,23706,0.502024339891123,1240
"90",1395,0.347749240556512,28352,0.507911975381541,1550
"90",1705,0.345879378950838,32684,0.505002513382788,1860
"90",2015,0.342400714333831,37450,0.494380568105754,2170
"90",2325,0.345582511981687,40511,0.498220259446824,2480
"90",2635,0.347899237621117,43699,0.498086821483362,2790
"90",2945,0.34945390726082,46872,0.503045811340625,3100
"90",3255,0.355554120239455,48892,0.513274451830776,3410
"90",3565,0.357280002789873,50688,0.519557339531891,3720
"90",3875,0.355763943636058,53093,0.514064375446265,4030
"90",4185,0.3576414959257,53428,0.517902028082442,4340
"90",4495,0.354953134970909,52970,0.511767827161187,4650
"90",4805,0.363048803175698,52743,0.524255905109078,4960
"90",5115,0.359274847339664,52147,0.516733927832115,5270
"90",5425,0.363579380389598,50663,0.525493338336872,5580
"90",5735,0.364052259558666,49376,0.528220503677687,5890
"90",6045,0.36735854616364,47569,0.541729169264457,6200
"90",6355,0.358024513101147,44604,0.516928047537608,6510
"90",6665,0.366898428369384,43124,0.530708329645944,6820
"90",6975,0.368646115648442,40597,0.540603913290072,7130
"135",155.000000000001,0.343328819412922,3936,0.543725665797915,310
"135",465,0.35750657734889,11152,0.534516189399909,620
"135",775,0.347282581319467,17165,0.506092448429416,930
"135",1085,0.347208994675431,23280,0.499189282301224,1240
"135",1395,0.351538736559158,28761,0.502825270958559,1550
"135",1705,0.343126852920932,33061,0.489334662107407,1860
"135",2015,0.345516590891917,37602,0.492052086939279,2170
"135",2325,0.342823986408976,41649,0.494264262593551,2480
"135",2635,0.349563519497523,45045,0.504880621893475,2790
"135",2945,0.349964635156545,47911,0.498752113382814,3100
"135",3255,0.349039254370317,49409,0.498183878040213,3410
"135",3565,0.349455702280514,51978,0.496155548684318,3720
"135",3875,0.352117174078288,53177,0.502219938276787,4030
"135",4185,0.35105666872401,54520,0.498844905932318,4340
"135",4495,0.355864433656805,55337,0.506121505928464,4650
"135",4805,0.354502309446802,55737,0.507113390314394,4960
"135",5115,0.356056120183518,55940,0.51099167088603,5270
"135",5425,0.359699674139581,55185,0.510877329072724,5580
"135",5735,0.358610967710526,55234,0.512558287739717,5890
"135",6045,0.363026932038506,54290,0.522579792242266,6200
"135",6355,0.356679547737362,51981,0.514084312851425,6510
"135",6665,0.368742493019464,51154,0.530454530368667,6820
"135",6975,0.368505271307009,48592,0.527516364028698,7130
"omnidir",155.000000000001,0.355388409261761,15320,0.547700285713219,310
"omnidir",465,0.362353010876839,43315,0.543439588047417,620
"omnidir",775,0.350793402039846,67834,0.509572590079494,930
"omnidir",1085,0.349371030931415,93579,0.510384617237979,1240
"omnidir",1395,0.348289601071247,113508,0.505673370754492,1550
"omnidir",1705,0.34752154552973,130043,0.503302723256985,1860
"omnidir",2015,0.345235057382299,148811,0.495891464256287,2170
